name,address,phone
CityCare Hospital,"12 MG Road, Bengaluru, Karnataka",+91-9876543210
Green Valley Medical Center,"45 Residency Road, Bengaluru, Karnataka",+91-9876543211
,"78 Indiranagar 100 Ft Road, Bengaluru, Karnataka",+91-9876543212
Apollo Health Clinic,"22 Koramangala 5th Block, Bengaluru, Karnataka",+91-9876543213
Lakeside General Hospital,,+91-9876543214
,"9 Jayanagar 4th Block, Bengaluru, Karnataka",+91-9876543215
Hopewell Hospital,"31 Bannerghatta Road, Bengaluru, Karnataka",
Starlight Hospital,,+91-9876543217
CarePoint Hospital,,+91-9876543218
,"55 HSR Layout Sector 2, Bengaluru, Karnataka",+91-9876543219
